mid,time_stamp,from_uid,to_uid,content
126,2021-12-05 18:27:54,1195,2889,
127,2021-09-15 06:57:45,8616,6819,
128,2021-10-25 03:38:57,9895,121,
129,2021-10-27 17:47:46,2067,2226,
130,2021-10-26 10:15:06,5815,8723,
131,2021-11-06 06:52:28,4845,9960,
132,2021-09-15 21:03:10,6988,8155,
133,2021-10-06 07:37:37,3232,9585,
134,2021-11-30 18:25:16,1315,8598,
135,2021-09-04 03:33:04,9194,2629,
136,2021-12-09 01:09:27,3608,6310,
137,2021-12-11 02:06:30,8669,9268,
138,2021-10-08 13:27:40,7394,2365,
139,2021-11-06 20:32:00,8987,7788,
140,2021-10-18 14:27:02,3593,553,
141,2021-11-21 13:34:42,2374,571,
142,2021-10-06 00:06:48,1595,3210,
143,2021-10-24 14:23:45,4382,6706,
144,2021-09-17 18:49:06,4303,8575,
145,2021-11-08 07:48:45,1668,493,
146,2021-11-19 05:20:59,4718,5680,
147,2021-10-20 16:56:56,3026,3685,
148,2021-10-08 03:02:00,3044,3886,
149,2021-11-09 07:53:00,9640,809,
150,2021-09-17 23:50:50,7867,3022,
151,2021-10-04 03:35:44,4074,1380,
152,2021-12-04 21:55:50,5479,437,
153,2021-09-24 21:25:26,9594,9503,
154,2021-12-04 23:24:09,9822,7808,
155,2021-10-04 01:09:35,6632,8028,
156,2021-10-31 07:19:43,6006,3033,
157,2021-10-06 12:10:01,4986,667,
158,2021-10-09 13:36:04,3688,33,
159,2021-10-24 22:30:36,5449,9661,
160,2021-09-25 14:53:14,608,2477,
161,2021-10-31 02:19:24,9375,9730,
162,2021-11-03 12:51:51,8888,1696,
163,2021-12-04 20:58:29,9811,9076,
164,2021-10-11 06:20:21,2363,5327,
165,2021-11-20 22:50:15,4896,3031,
166,2021-12-08 07:42:13,9471,3370,
167,2021-09-25 06:43:47,7098,2906,
168,2021-09-21 11:28:12,9827,6472,
169,2021-11-11 20:31:48,6452,2702,
170,2021-11-06 10:26:36,312,9893,
171,2021-09-19 03:14:40,9903,1647,
172,2021-11-09 00:03:19,8178,3699,
173,2021-11-01 11:45:08,2605,6562,
174,2021-09-19 04:39:28,9585,6395,
175,2021-11-11 16:02:38,4415,5067,
176,2021-10-10 19:50:48,7771,6969,
177,2021-10-22 16:39:03,6178,3044,
178,2021-11-05 02:39:14,4686,6733,
179,2021-12-08 01:50:56,1804,511,
180,2021-11-10 13:33:38,1780,6224,
181,2021-11-08 18:42:25,4759,7355,
182,2021-10-21 19:46:27,2961,7618,
183,2021-10-11 20:29:34,9432,9297,
184,2021-10-12 23:22:58,888,2394,
185,2021-11-27 13:11:27,9586,4418,
186,2021-09-13 12:37:07,353,6535,
187,2021-11-02 09:14:16,3600,944,
188,2021-09-10 18:35:08,5691,4875,
189,2021-09-17 19:08:52,469,4527,
190,2021-11-17 18:19:37,2169,2308,
191,2021-12-11 18:17:29,5516,5321,
192,2021-09-14 23:22:41,1920,4699,
193,2021-09-24 05:40:58,1829,7248,
194,2021-11-15 18:26:19,5610,4342,
195,2021-11-28 14:52:53,2487,7815,
196,2021-12-04 03:55:24,9259,4066,
197,2021-11-30 16:14:24,8439,6243,
198,2021-10-18 18:34:38,3723,5959,
199,2021-10-05 00:07:22,8904,2630,
200,2021-10-17 01:50:55,3857,2282,
201,2021-11-07 16:56:42,4049,8579,
202,2021-11-15 04:09:06,2735,4882,
203,2021-12-06 09:19:30,6457,1764,
204,2021-11-07 17:54:34,6291,9487,
205,2021-11-10 01:40:36,6810,4037,
206,2021-12-09 16:02:15,3504,1193,
207,2021-12-05 20:14:57,7395,9491,
208,2021-11-16 14:57:20,6357,4455,
209,2021-12-06 20:49:31,6722,5510,
210,2021-09-19 06:53:36,4331,7252,
211,2021-12-01 20:21:18,3169,947,
212,2021-12-03 23:11:11,3768,7773,
213,2021-11-21 13:08:17,5928,9683,
214,2021-12-06 03:08:21,1306,8551,
215,2021-12-02 18:17:41,9676,591,
216,2021-11-10 22:51:20,954,472,
217,2021-09-22 21:15:40,2464,9596,
218,2021-10-09 16:18:51,1957,8161,
219,2021-10-30 01:33:14,5069,9450,
220,2021-09-20 11:14:05,27,8177,
221,2021-09-20 00:41:55,6974,8826,
222,2021-11-29 20:05:08,5822,6401,
223,2021-10-02 03:14:16,2735,3234,
224,2021-10-31 00:27:17,6847,9005,
225,2021-10-04 19:38:51,7941,7777,
226,2021-09-24 18:14:23,1998,6182,
227,2021-10-10 14:17:01,8937,153,
228,2021-10-10 02:37:20,2865,1189,
229,2021-10-22 12:57:50,1949,6001,
230,2021-09-29 13:41:51,6148,7640,
231,2021-11-05 17:54:48,8765,1850,
232,2021-12-04 18:17:14,3978,6682,
233,2021-10-12 14:34:34,4267,3009,
234,2021-10-18 11:58:57,623,1965,
235,2021-09-09 15:01:00,8057,1185,
236,2021-12-03 00:33:36,5026,5720,
237,2021-09-13 06:33:27,6016,8834,
238,2021-10-17 22:31:44,3544,6090,
239,2021-12-03 07:17:37,1013,9678,
240,2021-09-17 11:29:40,4053,5142,
241,2021-09-20 01:40:53,2783,1608,
242,2021-11-25 03:52:00,1375,8978,
243,2021-10-15 13:46:33,8682,8285,
244,2021-10-19 03:56:06,1051,6224,
245,2021-10-08 19:48:07,959,7756,
246,2021-10-31 20:33:48,2521,6767,
247,2021-10-27 22:22:55,3758,2346,
248,2021-10-26 17:04:40,8391,3278,
249,2021-12-04 17:16:15,9206,9328,
250,2021-09-22 03:37:37,4735,8350,
251,2021-10-13 02:43:00,3899,6204,
252,2021-10-12 17:43:02,9669,8425,
253,2021-09-07 06:02:25,7295,140,
254,2021-11-04 15:50:21,2760,4223,
255,2021-11-03 06:07:42,712,7150,
256,2021-11-13 16:58:52,3383,686,
257,2021-09-27 05:36:41,202,1731,
258,2021-12-01 08:08:20,6092,4287,
259,2021-09-27 20:09:06,651,3569,
260,2021-09-23 00:49:46,1176,2010,
261,2021-09-30 20:38:01,9750,9889,
262,2021-11-26 15:58:42,7769,5121,
263,2021-09-05 19:27:36,351,4173,
264,2021-10-04 09:49:49,6145,2561,
265,2021-12-07 22:50:37,1848,9622,
266,2021-09-13 12:14:42,6131,2487,
267,2021-09-25 01:08:56,514,7833,
268,2021-10-11 20:55:49,5162,3961,
269,2021-11-10 06:37:33,9548,7473,
270,2021-09-15 05:06:06,4878,8024,
271,2021-10-23 08:43:39,6998,4466,
272,2021-09-04 21:25:11,8106,1406,
273,2021-10-16 01:10:14,8436,5221,
274,2021-11-16 15:42:06,2072,2127,
275,2021-11-14 17:45:44,3314,6402,
276,2021-12-06 22:31:13,9474,5521,
277,2021-11-21 04:23:41,5020,2855,
278,2021-09-19 16:11:43,8501,8003,
279,2021-09-11 15:37:06,3911,468,
280,2021-09-08 01:00:08,8811,655,
281,2021-12-05 04:55:04,8803,168,
282,2021-12-08 05:22:09,5741,4616,
283,2021-09-13 23:41:43,1678,9623,
284,2021-11-18 10:31:43,8319,7231,
285,2021-09-05 21:12:44,3299,9380,
286,2021-10-14 22:20:13,3419,2341,
287,2021-10-08 07:51:22,6467,8266,
288,2021-12-10 00:58:19,6831,2082,
289,2021-12-02 01:18:54,411,4655,
290,2021-11-18 18:32:47,8951,3969,
291,2021-12-02 02:11:31,6775,8689,
292,2021-10-24 01:45:50,2428,2368,
293,2021-10-27 14:12:17,3447,9792,
294,2021-10-17 04:35:29,9780,5540,
295,2021-10-16 03:28:11,4403,876,
296,2021-10-31 08:20:13,8406,947,
297,2021-12-06 09:27:08,6161,1747,
298,2021-10-22 16:27:14,345,3773,
299,2021-10-15 05:53:42,4662,3121,
300,2021-10-20 13:32:46,882,7243,
301,2021-11-01 09:29:08,4367,7683,
302,2021-10-18 08:50:20,9396,2768,
303,2021-09-08 14:57:54,8667,7422,
304,2021-09-21 10:13:58,178,2046,
305,2021-12-09 17:38:17,9104,6241,
306,2021-11-05 14:16:33,5098,9448,
307,2021-10-04 16:33:03,8824,1125,
308,2021-12-10 13:49:54,4459,797,
309,2021-11-19 07:06:23,9294,5245,
310,2021-11-15 11:21:24,9933,161,
311,2021-11-15 15:13:29,5384,1018,
312,2021-09-19 01:55:42,5337,7588,
313,2021-11-09 21:30:37,8246,9818,
314,2021-10-25 17:50:35,116,2264,
315,2021-10-13 12:30:05,9337,8120,
316,2021-11-04 12:42:22,9779,1187,
317,2021-11-18 10:33:35,8723,7549,
318,2021-12-01 22:43:50,8291,9964,
319,2021-09-16 09:57:45,8772,7442,
320,2021-10-15 03:29:03,2076,3856,
321,2021-12-08 13:52:44,9464,7322,
322,2021-11-07 13:25:18,1564,6017,
323,2021-11-12 21:18:12,1453,2682,
324,2021-12-04 22:49:54,5046,9263,
325,2021-10-03 16:39:55,7808,5734,
326,2021-12-07 01:47:54,3581,1863,
327,2021-09-17 12:06:25,2745,6027,
328,2021-10-26 19:02:54,7794,695,
329,2021-10-21 01:00:44,9601,4062,
330,2021-10-04 10:36:27,3743,9303,
331,2021-12-01 03:37:16,3736,520,
332,2021-10-26 04:56:16,9919,7343,
333,2021-11-15 16:15:05,937,5129,
334,2021-12-02 04:32:11,6424,6202,
335,2021-10-11 02:59:04,4433,7111,
336,2021-11-23 15:51:25,7959,6717,
337,2021-12-02 10:49:32,6605,4763,
338,2021-11-03 13:21:00,8975,1701,
339,2021-11-11 23:36:42,2780,1580,
340,2021-10-06 17:47:25,4807,4243,
341,2021-10-30 22:03:45,4324,47,
342,2021-10-26 00:15:14,1153,645,
343,2021-09-22 07:29:44,202,5224,
344,2021-11-04 14:39:31,8573,762,
345,2021-12-04 01:03:36,8887,6109,
346,2021-10-01 01:40:31,6596,4440,
347,2021-12-07 10:51:35,6457,290,
348,2021-09-16 23:44:26,3424,4171,
349,2021-10-10 13:36:09,3969,7685,
350,2021-10-06 23:24:19,6827,6187,
351,2021-11-21 18:14:18,2085,6851,
352,2021-12-08 04:34:29,7049,5863,
353,2021-09-09 18:30:17,1654,2425,
354,2021-12-12 07:16:51,8454,2621,
355,2021-10-27 04:51:14,2781,1557,
356,2021-10-16 07:30:43,8884,9364,
357,2021-10-29 21:01:46,1616,8409,
358,2021-10-12 20:49:34,3210,8425,
359,2021-10-13 18:01:56,5778,5055,
360,2021-12-08 14:15:07,3353,7513,
361,2021-10-31 03:09:54,3233,129,
362,2021-09-13 19:43:03,8963,8604,
363,2021-10-23 13:20:46,3594,9956,
364,2021-11-19 08:17:47,1206,9154,
365,2021-11-11 12:39:42,4677,4845,
366,2021-12-03 10:05:46,4011,2694,
367,2021-09-06 16:05:02,50,6395,
368,2021-11-04 04:21:27,6221,2854,
369,2021-09-17 16:56:02,4909,9068,
370,2021-10-04 12:05:59,8536,6045,
371,2021-09-21 22:32:33,9328,352,
372,2021-11-10 23:47:23,7292,3805,
373,2021-10-16 19:23:37,9484,3702,
374,2021-09-29 12:49:00,5909,6627,
375,2021-09-15 20:49:10,7452,4893,
376,2021-09-06 18:20:16,4059,9902,
377,2021-10-16 18:42:10,5682,5020,
378,2021-11-06 18:12:14,9314,1699,
379,2021-10-17 00:35:30,6999,74,
380,2021-11-11 02:14:27,3037,7586,
381,2021-12-11 06:55:57,9573,9048,
382,2021-10-04 07:34:47,7125,8730,
383,2021-11-12 19:42:42,5268,780,
384,2021-09-08 01:35:00,662,4839,
385,2021-10-24 04:38:41,3361,8510,
386,2021-10-28 19:43:51,5583,9544,
387,2021-10-26 20:01:10,8467,487,
388,2021-10-09 01:58:38,3220,3505,
389,2021-10-19 14:56:26,4065,692,
390,2021-11-07 00:28:17,8778,5108,
391,2021-11-09 20:21:07,8409,6753,
392,2021-09-19 20:04:38,2325,1081,
393,2021-11-24 07:26:17,5841,3320,
394,2021-10-26 04:14:38,8712,7460,
395,2021-10-05 08:08:12,617,9689,
396,2021-12-07 01:48:55,2662,296,
397,2021-10-22 13:57:15,5413,707,
398,2021-10-14 01:00:34,809,3462,
399,2021-12-12 03:00:02,3403,6501,
400,2021-09-07 14:16:33,8565,2643,
401,2021-10-20 12:19:00,1343,7815,
402,2021-09-12 18:32:07,8313,8924,
403,2021-10-16 02:31:53,2643,4450,
404,2021-09-29 05:51:02,2789,7605,
405,2021-10-29 10:51:07,2817,7053,
406,2021-10-24 16:23:50,773,5602,
407,2021-09-06 06:13:07,3797,4223,
408,2021-11-23 08:50:09,9544,2280,
409,2021-12-02 10:05:37,9993,2820,
410,2021-11-11 16:47:05,3066,3143,
411,2021-11-05 13:56:39,6003,4721,
412,2021-11-02 04:26:56,7932,4895,
413,2021-10-24 13:37:42,7537,9155,
414,2021-12-11 09:59:31,5377,5196,
415,2021-09-18 00:16:20,1623,6646,
416,2021-10-04 06:44:38,4821,3600,
417,2021-11-30 03:58:10,6378,3360,
418,2021-09-18 07:23:39,5639,390,
419,2021-09-26 09:09:14,8590,2394,
420,2021-11-28 00:00:20,8781,341,
421,2021-11-22 10:04:42,8762,9007,
422,2021-10-22 07:00:47,1976,3075,
423,2021-09-13 01:44:04,7912,6306,
424,2021-10-07 16:41:39,7005,2621,
425,2021-10-30 12:51:15,4170,3971,
426,2021-12-11 19:38:03,3766,7439,
427,2021-11-19 13:06:21,8153,8611,
428,2021-09-10 12:02:24,6549,7370,
429,2021-11-26 12:43:26,5946,4720,
430,2021-10-24 06:15:39,8659,5995,
431,2021-10-21 01:59:05,5107,4396,
432,2021-11-17 10:58:25,4891,2405,
433,2021-11-06 14:49:41,7401,3501,
434,2021-10-18 04:49:25,9270,6593,
435,2021-09-28 16:10:21,6880,2218,
436,2021-11-12 21:05:37,1591,5045,
437,2021-10-25 23:41:34,6421,4004,
438,2021-10-30 05:44:47,2703,9470,
439,2021-10-23 22:42:52,5912,1707,
440,2021-09-05 09:29:07,5156,3434,
441,2021-09-18 13:44:01,5557,7918,
442,2021-11-27 09:20:06,8779,1205,
443,2021-10-12 04:53:25,5865,6072,
444,2021-09-22 14:19:59,6755,8242,
445,2021-11-10 17:17:33,4704,7139,
446,2021-11-22 12:55:05,4656,8740,
447,2021-12-02 01:41:59,9074,8910,
448,2021-09-26 07:32:52,5544,8125,
449,2021-12-11 10:53:44,1020,7666,
450,2021-12-10 07:03:09,1159,6297,
451,2021-09-27 17:54:24,6435,8547,
452,2021-10-21 03:05:39,5731,1874,
453,2021-10-27 15:52:05,8174,1709,
454,2021-09-10 07:29:40,2134,2143,
455,2021-11-23 08:57:37,8043,2070,
456,2021-09-30 12:55:59,8388,2904,
457,2021-11-01 08:10:56,8759,8097,
458,2021-11-04 23:12:40,1758,8776,
459,2021-09-07 16:55:52,5040,9438,
460,2021-11-23 06:40:41,4643,9646,
461,2021-09-08 08:44:37,6485,2112,
462,2021-12-10 11:03:46,2583,791,
463,2021-11-26 05:00:01,5521,346,
464,2021-11-28 17:52:44,1598,917,
465,2021-11-28 17:12:46,1670,1693,
466,2021-10-15 01:42:24,1122,7192,
467,2021-11-06 10:28:13,4593,4529,
468,2021-11-17 17:30:57,5377,4528,
469,2021-09-07 22:39:43,8897,2644,
470,2021-12-01 20:35:43,1289,4113,
471,2021-10-12 12:27:04,1068,1562,
472,2021-11-03 20:37:18,352,8761,
473,2021-11-28 09:10:16,2112,2707,
474,2021-09-08 07:49:57,9777,325,
475,2021-09-24 05:05:03,6059,8985,
476,2021-10-01 06:33:18,4329,2236,
477,2021-10-16 13:08:37,6985,4418,
478,2021-10-20 10:36:54,3216,8579,
479,2021-10-12 22:58:22,9347,3381,
480,2021-10-18 03:49:01,2508,7928,
481,2021-10-08 15:36:51,7916,2878,
482,2021-10-20 16:31:25,4169,5813,
483,2021-11-26 05:53:45,9930,6313,
484,2021-09-20 08:16:37,8920,6084,
485,2021-09-20 17:29:49,3060,3587,
486,2021-11-09 19:28:36,6383,291,
487,2021-11-15 12:54:04,5772,1944,
488,2021-10-10 10:02:04,7392,8732,
489,2021-10-02 02:42:35,6461,7401,
490,2021-10-04 09:21:52,18,95,
491,2021-09-30 13:15:07,223,6711,
492,2021-10-01 09:46:11,290,6321,
493,2021-12-08 23:24:17,6607,1918,
494,2021-10-28 13:19:56,3931,2469,
495,2021-09-21 04:20:33,4311,9984,
496,2021-11-17 05:39:33,4209,1039,
497,2021-10-21 01:55:51,1557,155,
498,2021-11-11 23:05:26,1574,2474,
499,2021-10-05 04:11:36,1205,8529,
500,2021-11-06 07:04:16,3545,6987,
501,2021-11-12 07:08:28,9984,3303,
502,2021-11-19 14:36:47,4121,1944,
503,2021-11-25 15:07:32,5234,8257,
504,2021-10-01 14:10:55,2048,6471,
505,2021-09-11 13:35:36,2458,2104,
506,2021-12-04 21:26:32,2343,3888,
507,2021-11-19 14:23:44,7269,5211,
508,2021-09-26 06:45:51,2987,1547,
509,2021-11-17 13:07:09,9685,9175,
510,2021-09-19 01:04:25,3086,7009,
511,2021-10-27 02:41:01,8567,2177,
512,2021-12-05 06:18:52,8456,4260,
513,2021-09-12 02:31:21,2908,9223,
514,2021-10-23 15:42:36,8623,8726,
515,2021-12-07 10:13:34,7349,5708,
516,2021-10-30 16:31:27,6723,4949,
517,2021-12-06 05:30:58,8197,77,
518,2021-09-29 20:28:32,8991,7758,
519,2021-11-26 10:21:38,4707,447,
520,2021-10-12 22:02:45,7152,3399,
521,2021-10-09 01:35:49,9161,4863,
522,2021-09-26 23:11:12,7167,8035,
523,2021-10-19 23:30:21,180,6984,
524,2021-11-17 20:53:14,4805,4366,
525,2021-10-27 01:58:56,7165,6213,
526,2021-09-14 06:35:20,4085,9219,
527,2021-09-29 02:13:04,4360,276,
528,2021-11-10 07:45:02,2257,4760,
529,2021-12-06 09:43:02,7267,4101,
530,2021-11-06 01:28:01,3788,2575,
531,2021-11-15 15:59:29,2823,6058,
532,2021-10-06 05:30:14,8834,1445,
533,2021-11-21 11:20:22,2184,7912,
534,2021-10-15 17:49:41,1856,4264,
535,2021-10-28 09:36:56,5785,704,
536,2021-09-10 03:32:59,9271,2264,
537,2021-09-13 02:53:19,7163,6834,
538,2021-09-13 03:48:31,254,5640,
539,2021-11-10 06:48:26,4939,5015,
540,2021-11-15 10:12:15,8806,3010,
541,2021-11-25 13:34:08,8326,2885,
542,2021-10-30 06:40:09,4741,9022,
543,2021-12-05 20:28:40,7582,2880,
544,2021-10-28 09:22:41,3,4219,
545,2021-09-04 13:32:45,8092,4832,
546,2021-10-26 23:08:57,7957,8157,
547,2021-09-14 00:59:27,1351,8632,
548,2021-10-03 08:49:27,4707,8518,
549,2021-11-02 19:27:15,2709,7190,
550,2021-09-26 10:57:30,9971,6900,
551,2021-10-28 02:08:21,9784,1956,
552,2021-09-28 23:12:08,5080,758,
553,2021-10-14 10:20:25,25,3076,
554,2021-09-13 11:03:19,9200,9876,
555,2021-10-19 23:30:29,2823,5574,
556,2021-11-20 09:54:00,6130,6269,
557,2021-12-04 15:18:47,4002,8922,
558,2021-11-30 16:09:18,9720,6349,
559,2021-10-29 05:40:24,244,1337,
560,2021-09-07 17:57:10,2678,1428,
561,2021-11-11 07:59:15,862,2528,
562,2021-11-15 09:01:37,9265,6891,
563,2021-09-18 03:45:15,6678,7117,
564,2021-09-23 12:34:22,8465,8396,
565,2021-10-29 16:39:27,1355,8013,
566,2021-10-07 19:30:12,9210,6814,
567,2021-09-23 12:19:24,4606,5375,
568,2021-10-10 06:01:28,4483,1977,
569,2021-10-15 10:31:57,3204,2568,
570,2021-10-02 09:17:34,4427,8623,
571,2021-10-27 10:42:14,8327,2032,
572,2021-10-14 05:49:59,9178,6258,
573,2021-11-12 15:46:07,3476,610,
574,2021-09-07 04:19:24,2079,1308,
575,2021-12-04 15:12:11,4230,5079,
576,2021-09-13 05:10:31,3637,6690,
577,2021-10-01 15:39:39,8826,9341,
578,2021-11-28 16:15:29,6737,2328,
579,2021-09-20 19:44:27,6377,8483,
580,2021-10-03 19:43:03,9936,1892,
581,2021-10-26 03:09:16,3322,550,
582,2021-09-25 17:04:01,5386,3239,
583,2021-12-07 06:25:38,3418,1486,
584,2021-10-22 20:12:31,946,436,
585,2021-09-08 17:37:41,8006,5992,
586,2021-11-27 10:24:05,8794,1503,
587,2021-10-21 10:39:00,6693,413,
588,2021-09-25 15:38:03,1386,9425,
589,2021-11-02 02:39:56,9836,6976,
590,2021-12-10 03:41:24,2006,4342,
591,2021-10-06 20:19:07,4,8628,
592,2021-10-14 00:03:18,7090,291,
593,2021-10-06 05:58:35,9855,8046,
594,2021-10-24 21:42:17,1277,1648,
595,2021-12-11 02:49:59,7930,8530,
596,2021-10-25 06:22:39,7639,1309,
597,2021-09-09 19:59:42,7164,6653,
598,2021-11-26 23:05:49,4776,9399,
599,2021-09-22 22:06:44,3714,1025,
600,2021-11-28 13:59:49,4978,9641,
601,2021-12-12 05:04:46,3395,6445,
602,2021-10-08 22:25:20,9692,6520,
603,2021-10-30 01:38:44,6412,794,
604,2021-11-02 13:04:18,2641,5049,
605,2021-09-20 13:38:42,4810,2778,
606,2021-09-06 09:25:49,8849,5233,
607,2021-10-08 19:10:55,2034,5761,
608,2021-10-04 08:03:03,4853,9711,
609,2021-09-29 23:07:27,294,9516,
610,2021-09-21 00:22:06,5717,7312,
611,2021-11-23 03:49:39,8248,4031,
612,2021-10-28 12:53:16,3054,2678,
613,2021-11-15 06:02:40,9001,5637,
614,2021-10-28 20:39:42,2932,2246,
615,2021-12-03 11:20:02,3780,1221,
616,2021-10-17 11:59:08,1653,8224,
617,2021-10-11 07:26:12,5477,7780,
618,2021-09-17 10:25:22,1514,3197,
619,2021-10-14 08:18:43,5175,8882,
620,2021-09-23 11:06:01,2151,1888,
621,2021-12-11 06:42:20,3699,7130,
622,2021-10-08 00:14:19,9509,9116,
623,2021-11-27 20:52:16,9197,5692,
624,2021-12-10 20:56:07,2559,8034,
625,2021-09-19 21:38:32,6921,5098,
626,2021-09-26 22:58:03,4397,504,
627,2021-09-23 04:57:58,4617,7572,
628,2021-11-16 14:56:37,2428,5542,
629,2021-10-22 19:51:49,6635,8451,
630,2021-11-20 20:26:29,1547,2721,
631,2021-10-24 02:54:56,1204,3980,
632,2021-09-08 12:37:20,4706,4019,
633,2021-10-28 10:29:59,6415,6672,
634,2021-10-28 07:14:23,6357,4308,
635,2021-12-01 14:54:21,3600,9577,
636,2021-12-02 22:03:57,5760,3135,
637,2021-11-25 22:50:38,8001,3080,
638,2021-11-30 01:08:16,3716,3438,
639,2021-12-08 14:50:51,5235,4211,
